DATA_INIZIO_PUBBLICAZIONE|DATA_FINE_PUBBLICAZIONE|NUMERO|ANNO|OGGETTO|MITTENTE|TIPOLOGIA_ATTO_ORIGINALE|NUMERO_ATTO_ORIGINALE|DATA_ATTO_ORIGINALE
18/03/2025|02/04/2025|666|2025|DETERMINA N.252 DEL 17/03/2025 - DIPARTIMENTO GOVERNO DEL TERRITORIO: LAVORI DI MANUTENZIONE STRAORDINARIA E MESSA A NORMA DELL’ IMPIANTO SPORTIVO F.CECCONI CUP : I92H22000090005  CIG: A02A87156E PRATICA DI ISTRUTTORIA  IMPUTAZIONE DELLA SPESA.|DIPARTIMENTO GOVERNO DEL TERRITORIO|DETERMINE|252|17/03/2025
18/03/2025|02/04/2025|667|2025|DETERMINA N.253 DEL 17/03/2025 - DIPARTIMENTO SVILUPPO ECONOMICO DELLA CITTÀ E VIGILANZA EDILIZIA: IMPEGNO DI SPESA PER LIQUIDAZIONE CONTRIBUTO ALL'ASSOCIAZIONE PROTEZIONE CIVILE ED AMBIENTALE DI MONTEROTONDO O.D.V. -ANNO 2025|DIPARTIMENTO SVILUPPO ECONOMICO DELLA CITTÀ E VIGILANZA EDILIZIA|DETERMINE|253|17/03/2025
18/03/2025|02/04/2025|668|2025|DETERMINA N.254 DEL 17/03/2025 - DIPARTIMENTO GOVERNO DEL TERRITORIO: LAVORI DI RIFACIMENTO IMPIANTO ELETTRICO PIANO SECONDO PALAZZO COMUNALE  FASE 2    CIG: B3FBD23568 - APPROVAZIONE CERTIFICATO DI REGOLARE ESECUZIONE.|DIPARTIMENTO GOVERNO DEL TERRITORIO|DETERMINE|254|17/03/2025
18/03/2025|02/04/2025|669|2025|DETERMINA N.256 DEL 18/03/2025 - DIPARTIMENTO AFFARI GENERALI: NOMINA COMMISSIONE ESAMINATRICE PER LA PROCEDURA CONCORSUALE, PER SOLI ESAMI, PER LA COPERTURA A TEMPO INDETERMINATO E A TEMPO PIENO DI N.1 POSTO DI DIRIGENTE AMMINISTRATIVO SOCIO CULTURALE|DIPARTIMENTO AFFARI GENERALI|DETERMINE|256|18/03/2025
18/03/2025|02/04/2025|670|2025|DETERMINA N.255 DEL 18/03/2025 - DIPARTIMENTO AFFARI GENERALI: DETERMINA A CONTRARRE AI SENSI DELL’ART.50, CO.1 LETT. B DEL DLGS 36/2023 AFFIDAMENTO ALL’OPERATORE ECONOMICO SELETEK SRL TRAMITE MEPA DEL SERVIZIO DI SUPPORTO PROCEDURE CONCORSUALI DIGITALIZZATE DELLA PROVA PRESELETTIVA/SCRITTA PER N. 3 PROCEDURE CONCORSUALI  CIG B61220691D|DIPARTIMENTO AFFARI GENERALI|DETERMINE|255|18/03/2025
18/03/2025|02/04/2025|671|2025|DETERMINA N.259 DEL 18/03/2025 - CORPO DI POLIZIA LOCALE: AFFIDAMENTO ED ASSUNZIONE IMPEGNO DI SPESA GRUPPO ORMA  F.LLI PASQUALI INTERVENTI TECNICI/ MANUTENTIVI STRAORDINARI ED URGENTI SU VEICOLI DEL PARCO MEZZI COMANDO POLIZIA LOCALE (CIG B5FF1153D8)|CORPO DI POLIZIA LOCALE|DETERMINE|259|18/03/2025
18/03/2025|02/04/2025|672|2025|DETERMINA N.257 DEL 18/03/2025 - CORPO DI POLIZIA LOCALE: AFFIDAMENTO E IMPUTAZIONE SPESA SOC. FERRAMENTA RICCIONI S.R.L. - PER LA FORNITURA MINUTERIA METALLICA E DI CONSUMO (CIG B5FEF27C2C)|CORPO DI POLIZIA LOCALE|DETERMINE|257|18/03/2025
18/03/2025|02/04/2025|673|2025|DETERMINA N.258 DEL 18/03/2025 - CORPO DI POLIZIA LOCALE: AFFIDAMENTO DIRETTO E IMPEGNO DI SPESA ALLA SOC. INTAV SRL PER FORNITURA DI N. 1 DISPOSITIVO COMANDO DI GESTIONE COM.SAT.S3R. (CIG B5FEED47AF)|CORPO DI POLIZIA LOCALE|DETERMINE|258|18/03/2025
18/03/2025|02/04/2025|674|2025|DETERMINA N.260 DEL 18/03/2025 - DIPARTIMENTO AFFARI GENERALI: RIAPERTURA TERMINI PROCEDURE SELETTIVE COMPARATIVE INTERNE PROGRESSIONI VERTICALI IN DEROGA EX ART. 13, COMMI 6, 7 E 8 DEL C.C.N.L. 16/11/2022 PER LA COPERTURA DI N. 6 FUNZIONARI AMMINISTRATIVO CONTABILI, N.3 FUNZIONARI TECNICI E N.1  FUNZIONARIO CONTABILE|DIPARTIMENTO AFFARI GENERALI|DETERMINE|260|18/03/2025
18/03/2025|02/04/2025|675|2025|ORDINANZA DIRIGENZIALE N.59 DEL 18/03/2025 - SERVIZIO POLIZIA LOCALE: ORDINANZA CDS POTATURE VIA VOLGA SERVIZIO PIANIFICAZIONE URBANISTICA E AMBIENTE|CORPO DI POLIZIA LOCALE|ORDINANZE POLIZIA LOCALE|59|18/03/2025
18/03/2025|02/04/2025|676|2025|ORDINANZA DIRIGENZIALE N.60 DEL 18/03/2025 - SERVIZIO POLIZIA LOCALE: ORDINANZA CDS POTATURE VIA SANT'ANNA DI STAZZEMA E LARGO MARTIRI DELLE FOIBE SERVIZIO PIANIFICAZIONE URBANISTICA E AMBIENTE|CORPO DI POLIZIA LOCALE|ORDINANZE POLIZIA LOCALE|60|18/03/2025
18/03/2025|07/04/2025|677|2025|RICHIESTA NOTIFICA AI SENSI ART. 143 CPC - PRATICA N. 15/2025|SERVIZI DEMOGRAFICI|COMUNICAZIONI||
18/03/2025|07/04/2025|678|2025|NOT.ART. 143 C.P.C. ZAMFIR VASILE|COMUNE.CASTELLUCCHIO@PEC.REGIONE.LOMBARDIA.IT|COMUNICAZIONI||
18/03/2025|02/04/2025|679|2025|DETERMINA N.263 DEL 18/03/2025 - DIPARTIMENTO SERVIZI ALLA PERSONA: APPLICAZIONE QUINTO D'OBBLIGO AI SENSI DELL’ART. 120, COMMA 9 D.LGS.  36/2023 DEL CONTRATTO REPERTORIO 2673 DEL 04/03/2025  - ACCORDO QUADRO CON UN SINGOLO OPERATORE ECONOMICO E SENZA MINIMO GARANTITO, AI SENSI DELL’ART. 59, COMMA 3, DEL D.LGS. 36/2023, AVENTE AD OGGETTO IL SERVIZIO DI SOMMINISTRAZIONE DI LAVORO DI PERSONALE A TEMPO DETERMINATO PER IL DISTRETTO SOCIO-SANITARIO RM 5.1  CIG B1A4933E04|DIPARTIMENTO SERVIZI ALLA PERSONA|DETERMINE|263|18/03/2025
18/03/2025|02/04/2025|680|2025|DETERMINA N.262 DEL 18/03/2025 - DIPARTIMENTO AFFARI GENERALI: AFFIDAMENTO ED IMPEGNO DI SPESA PER LA FORNITURA DI  N. 2 SIM DATI, N. 1 SIM FONIA E DATI E N. 1 SMARTPHONE PER ATTIVAZIONE LINEA DATI E VOCE ALL’ASILO NIDO COMUNALE L’AQUILONE, ALLA SOCIETA VIANOVA S.P.A.. CIG: Z993CE44AE.|DIPARTIMENTO AFFARI GENERALI|DETERMINE|262|18/03/2025
18/03/2025|02/04/2025|681|2025|DETERMINA N.264 DEL 18/03/2025 - DIPARTIMENTO AFFARI GENERALI: DETERMINA A CONTRARRE PER ALL’AFFIDAMENTO DEL SERVIZIO DI FORNITURA DI UNA SUITE APPLICATIVA GESTIONALE EROGATA IN MODALITÀ SOFTWARE AS A SERVICE CERTIFICATA AGID PER IL COMUNE DI MONTEROTONDO, TRAMITE LA SUA 'CITTÀ METROPOLITANA DI ROMA CAPITALE' ALLA SOCIETAÌ APKAPPA S.R.L. CIG: B4D2835B15.|DIPARTIMENTO AFFARI GENERALI|DETERMINE|264|18/03/2025
18/03/2025|02/04/2025|682|2025|DETERMINA N.265 DEL 18/03/2025 - DIPARTIMENTO SERVIZI ALLA PERSONA: PROROGA TECNICA AI SENSI DELL’ART. 120 COMMA 11 DLGS 36/2023 DEL CONTRATTO REPERTORIO 2619 DEL 16/02/2023 - RDO_3204848 - AFFIDAMENTO GESTIONE DEL SERVIZIO SOCIALE PROFESSIONALE DISTRETTUALE PUA DEL DISTRETTO RM.5.1 - CIG 93413115B2.|DIPARTIMENTO SERVIZI ALLA PERSONA|DETERMINE|265|18/03/2025
18/03/2025|02/04/2025|683|2025|DETERMINA N.261 DEL 18/03/2025 - DIPARTIMENTO ATTIVITA' ECONOMICO FINANZIARIE E AMMINISTRATIVE: IMPEGNO SPESA PER RIMBORSO SOMME VERSATE ALL'ENTE A TITOLO DI I.M.U. ANNI D'IMPOSTA 2018/2019/2020/2021/2022.|DIPARTIMENTO ATTIVITA' ECONOMICHE, FINANZIARIE E AMMINISTRATIVE|DETERMINE|261|18/03/2025
19/03/2025|18/04/2025|685|2025|RICHIESTA DI PUBBLICAZIONE ALLALBO PRETORIO ONLINE - AVVISO DI DEPOSITO ATTI DI LIQUIDAZIONE USI CIVICI (FOGLIO 26,PARTICELLE 2060, 2063, 2278, 2280) PROT. 16896 DEL 18/03/2025.|SERVIZIO DEMANIO, PATRIMONIO E CIMITERIALE|AVVISI||
19/03/2025|03/04/2025|686|2025|DELIBERA: GIUNTA COMUNALE  N.74 DEL 18/03/2025: RESISTENZA IN GIUDIZIO DINANZI ALLA CORTE DI GIUSTIZIA DI SECONDO GRADO DEL LAZIO AVVERSO SENT. CGTPG N. 13941/2024 - CHERUBINI GUP SRL C/COMUNE DI MONTEROTONDO - CONFERIMENTO INCARICO AVV. MENSITIERI (ANDREANI TRIBUTI)|ATTIUFF - IMU|DELIBERE|74|18/03/2025
19/03/2025|03/04/2025|687|2025|DELIBERA: GIUNTA COMUNALE  N.75 DEL 18/03/2025: RESISTENZA IN GIUDIZIO DINANZI ALLA CORTE DI GIUSTIZIA DI SECONDO GRADO DEL LAZIO AVVERSO SENT. CGTPG N. 13942/2024 - CHERUBINI GUP SRL C/COMUNE DI MONTEROTONDO - CONFERIMENTO INCARICO AVV. MENSITIERI (ANDREANI TRIBUTI)|ATTIUFF - IMU|DELIBERE|75|18/03/2025
19/03/2025|03/04/2025|688|2025|DELIBERA: GIUNTA COMUNALE  N.76 DEL 18/03/2025: RESISTENZA IN GIUDIZIO DINANZI ALLA CORTE DI GIUSTIZIA DI SECONDO GRADO DEL LAZIO AVVERSO SENT. CGTPG N. 13943/2024 - CHERUBINI GUP SRL C/COMUNE DI MONTEROTONDO - CONFERIMENTO INCARICO AVV. MENSITIERI (ANDREANI TRIBUTI)|ATTIUFF - IMU|DELIBERE|76|18/03/2025
19/03/2025|03/04/2025|689|2025|DELIBERA: GIUNTA COMUNALE  N.77 DEL 18/03/2025: APPROVAZIONE CONVENZIONE TRA IL COMUNE E L’ASSOCIAZIONE MUSICALE ERETINA APS PER ORGANIZZAZIONE ATTIVITA’ BANDISTICHE E DI PROMOZIONE MUSICALE 2025.|ATTIUFF - Servizio cultura|DELIBERE|77|18/03/2025
19/03/2025|03/04/2025|690|2025|DELIBERA: GIUNTA COMUNALE  N.78 DEL 18/03/2025: INDIVIDUAZIONE DEI COMPONENTI DEL GRUPPO AMMINISTRAZIONE PUBBLICA DEL COMUNE DI MONTEROTONDO  E DEL PERIMETRO DI CONSOLIDAMENTO PER LA REDAZIONE DEL BILANCIO CONSOLIDATO ESERCIZIO 2024.|ATTIUFF - Economato|DELIBERE|78|18/03/2025
19/03/2025|18/04/2025|691|2025|RICHIESTA DI PUBBLICAZIONE ALL'ALBO PRETORIO ONLINE - AVVISO DI DEPOSITO ATTI DI LIQUIDAZIONE USI CIVICI (FOGLIO 27, PARTICELLA 675) PROT. 17076 DEL 19/03/2025.|SERVIZIO DEMANIO, PATRIMONIO E CIMITERIALE|AVVISI||
19/03/2025|03/04/2025|692|2025|DETERMINA N.266 DEL 19/03/2025 - DIPARTIMENTO SERVIZI ALLA PERSONA: IMPEGNO DI SPESA FORNITURA  GAS NATURALE  ISTITUTI COMPRENSIVI DEL TERRITORIO COMUNALE RIFERIMENTO D.D. N. 912 DEL 07/11/2023 - CIG A0267E730C|DIPARTIMENTO SERVIZI ALLA PERSONA|DETERMINE|266|19/03/2025
19/03/2025|03/04/2025|693|2025|DETERMINA N.267 DEL 19/03/2025 - DIPARTIMENTO GOVERNO DEL TERRITORIO: AUTORIZZAZIONE PAESAGGISTICA ART.146 D.LGS. 42/2004 E ART. 3-11 DPR 31/2017 - (EL. 02/2025)  INSTALLAZIONE INSEGNE PUBBLICITARIE A CASSONETTO E VETROFANIE SU LOCALE COMMERCIALE DA DESTINARE A BANCA  LOCALIZZAZIONE: FOGLIO 29, PARTICELLA 132|DIPARTIMENTO GOVERNO DEL TERRITORIO|DETERMINE|267|19/03/2025
20/03/2025|19/04/2025|694|2025|DETERMINA G02798|SERVIZIO URBANISTICA, PIANIFICAZIONE E AMBIENTE|DETERMINE||
20/03/2025|09/04/2025|695|2025|RACCOMANDATA PER COLLINA BARBARA|tre esse italia srl|COMUNICAZIONI||
20/03/2025|09/04/2025|696|2025|RACCOMANDATA PER GUIDO MASSIMILIANO|agenzia entrate riscossione|COMUNICAZIONI||
20/03/2025|09/04/2025|697|2025|RACCOMANDATA PER CIOCCHETTI LEONARDO|COMUNE DI MENTANA TRIBUTI|COMUNICAZIONI||
20/03/2025|09/04/2025|698|2025|RACCOMANDATA PER C.ORTE ALESSIO|COMUNE DI MENTANA TRIBUTI|COMUNICAZIONI||
20/03/2025|04/04/2025|701|2025|ORDINANZA DIRIGENZIALE N.61 DEL 20/03/2025 - SERVIZIO POLIZIA LOCALE: ORDINANZA C.D.S. MANIFESTAZIONE DUATHLON MONTEROTONDO|CORPO DI POLIZIA LOCALE|ORDINANZE POLIZIA LOCALE|61|20/03/2025
20/03/2025|04/04/2025|702|2025|ORDINANZA DIRIGENZIALE N.62 DEL 20/03/2025 - SERVIZIO POLIZIA LOCALE: ORDINANZA CDS POTATURA ALBERATURE PIAZZA BORRELLI SERVZIO PIANIFICAZIONE URBANISTICA E AMBIENTE|CORPO DI POLIZIA LOCALE|ORDINANZE POLIZIA LOCALE|62|20/03/2025
20/03/2025|04/04/2025|703|2025|ORDINANZA DIRIGENZIALE N.63 DEL 20/03/2025 - SERVIZIO POLIZIA LOCALE: ORDINANZA CDS VIALE BRUNO BUOZZI LAVORI OSPEDALE SS.MO GONFALONE|CORPO DI POLIZIA LOCALE|ORDINANZE POLIZIA LOCALE|63|20/03/2025
20/03/2025|04/04/2025|721|2025|DETERMINA N.268 DEL 20/03/2025 - DIPARTIMENTO AFFARI GENERALI: AFFIDAMENTO ED IMPEGNO DI SPESA PER ATTIVAZIONE DI UNA LINEA DATI E VOCE ALL’ASILO NIDO COMUNALE L’AQUILONE, ALLA SOCIETA TELECOM ITALIA SPA. CIG: B60E82CB83.|DIPARTIMENTO AFFARI GENERALI|DETERMINE|268|20/03/2025
20/03/2025|04/04/2025|722|2025|DETERMINA N.269 DEL 20/03/2025 - DIPARTIMENTO AFFARI GENERALI: AUTORIZZAZIONE PROROGA FINO AL 30.04.2025 CONTRATTO A TEMPO PIENO E DETERMINATO EX ART. 36 DEL D. LGS. N. 165/2001 E ART. 60 CO. 6 DEL CCNL 16.11.2022 PROFILO ISTRUTTORE AMMINISTRATIVO CONTABILE (AREA ISTRUTTORI), SIG.RA SILVIA BRANDIFERRI TRAMITE SCORRIMENTO GRADUATORIA DI INTERPELLO ASMEL ELENCHI DI IDONEI|DIPARTIMENTO AFFARI GENERALI|DETERMINE|269|20/03/2025
20/03/2025|04/04/2025|723|2025|ORDINANZA DIRIGENZIALE N.64 DEL 20/03/2025 - SERVIZIO POLIZIA LOCALE: REVOCA ORDINANZA CDS N 61 DEL 20-03-2025|CORPO DI POLIZIA LOCALE|ORDINANZE POLIZIA LOCALE|64|20/03/2025
20/03/2025|04/04/2025|724|2025|ORDINANZA DIRIGENZIALE N.65 DEL 20/03/2025 - SERVIZIO POLIZIA LOCALE: ORDINANZA CDS VIA J.F. KENNEDY LAVORI ESPAZIA|CORPO DI POLIZIA LOCALE|ORDINANZE POLIZIA LOCALE|65|20/03/2025
21/03/2025|05/04/2025|725|2025|DETERMINA N.270 DEL 20/03/2025 - DIPARTIMENTO SERVIZI ALLA PERSONA: PNRR, MISSIONE 5 - COMPONENTE 2 INVESTIMENTO 1.3  SUB-INVESTIMENTO LINEA DI ATTIVITÀ 1.3.1 HOUSING TEMPORANEO  RETTIFICA D.D. 228/2025 - AVVISO DI ISTRUTTORIA PUBBLICA PER L’INDIVIDUAZIONE DI ENTI DEL TERZO SETTORE DISPONIBILI ALLA CO-PROGETTAZIONE, AI SENSI DELL’ART. 55, COMMA 3, DEL D.LGS. 117/2017, PER LA DEFINIZIONE DI UN PROGETTO DEDICATO ALLA CO-GESTIONE DEL PROGETTO HOUSING TEMPORTANEO  CUP I64H22000350006  - CIG B5F9DCC931|DIPARTIMENTO SERVIZI ALLA PERSONA|DETERMINE|270|20/03/2025
21/03/2025|05/04/2025|727|2025|P.D.V./COMUNE DI MONTEROTONDO -  PUBBLICAZIONE EX ART 130 CO. 8 CPA|SERVIZIO SUPPORTO ORGANI ISTITUZIONALI, AFFARI LEGALI E SANITA'|COMUNICAZIONI||
24/03/2025|14/04/2025|728|2025|DECRETO ATTRIBUZIONE INCARICO POLITICHE GIOVANILI E PARTECIPAZIONE DEMOCRATICA|SINDACO|COMUNICAZIONI||
25/03/2025|09/04/2025|729|2025|DETERMINA N.271 DEL 24/03/2025 - DIPARTIMENTO SVILUPPO ECONOMICO DELLA CITTÀ E VIGILANZA EDILIZIA: PUBBLICAZIONE PROGETTO DI LIQUIDAZIONE USI CIVICI SU TERRENI DI PROPRIETA’ PRIVATA (FOGLIO 32 P.LLA 2541 - DERIVATA DALLE PARTICELLE 2489 E 2490)|DIPARTIMENTO SVILUPPO ECONOMICO DELLA CITTÀ E VIGILANZA EDILIZIA|DETERMINE|271|24/03/2025
25/03/2025|24/04/2025|730|2025|AFFISSIONE ALBO PRETORIO -RICHIESTA PUBBLICAZIONE ISTANZA MODIFICA COGNOME PER FIGLIO R. Z. J. CONSEGNATO A MANO|prefetto provincia roma|COMUNICAZIONI||
25/03/2025|09/04/2025|731|2025|DETERMINA N.273 DEL 25/03/2025 - DIPARTIMENTO SERVIZI ALLA PERSONA: ASSUNZIONE IMPEGNO DI SPESA PER LA LIQUIDAZIONE  DEI CORRISPETTIVI DERIVANTI DALL'EMISSIONE DELLE CARTE DI IDENTITÀ' ELETTRONICHE A FAVORE DEL MINISTERO DELL'INTERNO|DIPARTIMENTO SERVIZI ALLA PERSONA|DETERMINE|273|25/03/2025
25/03/2025|09/04/2025|732|2025|DETERMINA N.272 DEL 25/03/2025 - DIPARTIMENTO AFFARI GENERALI: BFF BANK S.P.A./COMUNE DI MONTEROTONDO (TRIB. TIVOLI R.G.N. 3545/2022)  IMPEGNO DI SPESA IN FAVORE DELL’ORGANISMO DI MEDIAZIONE FORENSE DELL’ORDINE DEGLI AVVOCATI DI TIVOLI|DIPARTIMENTO AFFARI GENERALI|DETERMINE|272|25/03/2025
26/03/2025|03/04/2025|733|2025|NOT.ART. 140 C.P.C. REVERSI PACIFICO|tributi@pec.umpotenzaesino.it|COMUNICAZIONI||
26/03/2025|03/04/2025|734|2025|NOT.ART. 60 1°COMMA LETT.E DEL DPR 600/73 FEUYOU DOMAGAI STEPHANIE  |cop.Pescara@pce.agenziaentrate.it|AVVISI||
26/03/2025|10/04/2025|735|2025|DETERMINA N.275 DEL 26/03/2025 - DIPARTIMENTO ATTIVITA' ECONOMICO FINANZIARIE E AMMINISTRATIVE: APPROVAZIONE SCHEMA DI AVVISO PUBBLICO E SCHEMA DI PROPOSTA CANDIDATURA PER LA NOMINA DEL PRESIDENTE DELL’ORGANO DI REVISIONE ECONOMICO FINANZIARIA PER IL TRIENNIO 2025/2028|DIPARTIMENTO ATTIVITA' ECONOMICHE, FINANZIARIE E AMMINISTRATIVE|DETERMINE|275|26/03/2025
26/03/2025|10/04/2025|736|2025|DETERMINA N.274 DEL 25/03/2025 - DIPARTIMENTO GOVERNO DEL TERRITORIO: LAVORI DI MANUTENZIONE STRAORDINARIA ALLOGGI COMUNALI DI VIA FRATI CROCIFERI - CUP: I92D23000050005 - CIG: B1B979B3FC- APPROVAZIONE SECONDO SAL.|DIPARTIMENTO GOVERNO DEL TERRITORIO|DETERMINE|274|25/03/2025
26/03/2025|10/04/2025|737|2025|DELIBERA: GIUNTA COMUNALE  N.79 DEL 25/03/2025: V.P./COMUNE DI MONTEROTONDO - RESISTENZA E COSTITUZIONE DINANZI AL GDP DI TIVOLI (R.G.N. 700/2024) - CONFERIMENTO INCARICO AVV. CURRERI E ANTONACCI|ATTIUFF - affari legali|DELIBERE|79|25/03/2025
26/03/2025|10/04/2025|738|2025|DELIBERA: GIUNTA COMUNALE  N.80 DEL 25/03/2025: CONCESSIONE PATROCINIO PER LA GREEN - FOOD WEEK NEGLI ISTITUTI SCOLASTICI TERRITORIALI A.S. 2024 - 2025  INIZIATIVA NAZIONALE DI EDUCAZIONE ALIMENTARE PROMOSSA DALL’ASSOCIAZIONE FOOD INSIDER.|ATTIUFF - Servizio istruzione|DELIBERE|80|25/03/2025
27/03/2025|11/04/2025|739|2025|ORDINANZA DIRIGENZIALE N.66 DEL 26/03/2025 - SERVIZIO POLIZIA LOCALE: ORDINANZA CDS VIA MONTI SABINI OSP TELECOM ITALIA SPA|CORPO DI POLIZIA LOCALE|ORDINANZE POLIZIA LOCALE|66|26/03/2025
27/03/2025|11/04/2025|740|2025|ORDINANZA DIRIGENZIALE N.67 DEL 26/03/2025 - SERVIZIO POLIZIA LOCALE: ORDINANZA CDS VIA MARZABOTTO SERVIZIO PIANIFICAZIONE E AMBIENTE POTATURA ALBERATURE|CORPO DI POLIZIA LOCALE|ORDINANZE POLIZIA LOCALE|67|26/03/2025
27/03/2025|11/04/2025|742|2025|NULLA OSTA COMPOSTIERA|SERVIZIO URBANISTICA, PIANIFICAZIONE E AMBIENTE|COMUNICAZIONI||
27/03/2025|04/04/2025|743|2025| GRAZIOSI LUCIANO NOT.ART. 140 C.P.C. |agenzia entrate roma 1|AVVISI||
27/03/2025|04/04/2025|744|2025|NOT.ART. 140 C.P.C. RIGANELLI MARCO|DP.MACERATA@PCE.AGENZIAENTRATE.IT|AVVISI||
27/03/2025|04/04/2025|745|2025|NOT.ART. 140 C.P.C. SINGH RAMANDEEP |TRIBUTI@PEC.COMUNE.APRILIA.LT.IT|AVVISI||
27/03/2025|04/04/2025|746|2025|NOT.ART. 140 C.P.C. OSMANOVIC GOLUB|Se.Pi. Pisa|COMUNICAZIONI||
27/03/2025|04/04/2025|747|2025|NOT.ART. 140 C.P.C. OSMANOVIC GOLUBB|s.e.pi. spa|COMUNICAZIONI||
